PW_North_East	134.58252,7.51498
PY_South_West	-58.443832,-23.442503
QA_North_East	51.183884,25.354826
RE_South_East	55.536384,-21.115141
RO_North_East	24.96676,45.943161
RS_North_East	21.005859,44.016521
RU_North_East	105.318756,61.52401
RW_South_East	29.873888,-1.940278
SA_North_East	45.079162,23.885942
SB_South_East	160.156194,-9.64571
SC_South_East	55.491977,-4.679574
SD_North_East	30.217636,12.862807
SE_North_East	18.643501,60.128161
SG_North_East	103.819836,1.352083
SH_South_West	-10.030696,-24.143474
SI_North_East	14.995463,46.151241
SJ_North_East	23.670272,77.553604
SK_North_East	19.699024,48.669026
SL_North_West	-11.779889,8.460555
SM_North_East	12.457777,43.94236
SN_North_West	-14.452362,14.497401
SO_North_East	46.199616,5.152149
SR_North_West	-56.027783,3.919305
ST_North_East	6.613081,0.18636
SV_North_West	-88.89653,13.794185
SY_North_East	38.996815,34.802075
SZ_South_East	31.465866,-26.522503
TC_North_West	-71.797928,21.694025
TD_North_East	18.732207,15.454166
TF_South_East	69.348557,-49.280366
TG_North_East	0.824782,8.619543
TH_North_East	100.992541,15.870032
TJ_North_East	71.276093,38.861034
TK_South_West	-171.855881,-8.967363
TL_South_East	125.727539,-8.874217
TM_North_East	59.556278,38.969719
TN_North_East	9.537499,33.886917
TO_South_West	-175.198242,-21.178986
TR_North_East	35.243322,38.963745
TT_North_West	-61.222503,10.691803
TV_South_East	177.64933,-7.109535
TW_North_East	120.960515,23.69781
TZ_South_East	34.888822,-6.369028
UA_North_East	31.16558,48.379433
UG_North_East	32.290275,1.373333
US_North_West	-95.712891,37.09024
UY_South_West	-55.765835,-32.522779
UZ_North_East	64.585262,41.377491
VA_North_East	12.453389,41.902916
VC_North_West	-61.287228,12.984305
VE_North_West	-66.58973,6.42375
VG_North_West	-64.639968,18.420695
VI_North_West	-64.896335,18.335765
VN_North_East	108.277199,14.058324
VU_South_East	166.959158,-15.376706
WF_South_West	-177.156097,-13.768752
WS_South_West	-172.104629,-13.759029
XK_North_East	20.902977,42.602636
YE_North_East	48.516388,15.552727
YT_South_East	45.166244,-12.8275
ZA_South_East	22.937506,-30.559482
ZM_South_East	27.849332,-13.133897
ZW_South_East	29.154857,-19.015438
